업체코드,ID,리뷰내용,작성일,평가카테고리
ST024,먹방러_04,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-03-24,가격이 비싸요
ST024,리뷰어_박씨,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-03-19,깨끗해요
ST024,yummy_jeonju,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-05-14,맛이 별로예요
ST024,전주한바퀴,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-04-16,혼밥하기 좋아요
ST024,완산구주민,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-12,재방문 의사 없어요
ST024,kimchi_lover,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-05-23,맛이 별로예요
ST024,먹방러_02,점심시간엔 웨이팅이 필수예요. 여유 있게 방문하세요.,2026-02-14,불친절해요
ST025,효자동단골,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-03-08,가격이 비싸요
ST025,남부시장단골,하숙영가마솥비빔밥 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-05-12,또 오고 싶어요
ST025,review_kr_03,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-04-30,혼밥하기 좋아요
ST025,맛집지도앱,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-05-01,분위기가 좋아요
ST025,인후동탐방,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-02-22,깨끗해요
ST025,신시가지거주자,하숙영가마솥비빔밥 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-03-22,양이 많아요
ST025,jeonju_review01,가격 대비 양도 많고 맛도 훌륭해요. 하숙영가마솥비빔밥 단골 됐어요.,2026-01-12,양이 많아요
ST025,foodlover_E,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-02-26,맛있어요
ST025,전주핫플,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-01-05,주차하기 편해요
ST025,출장온회사원,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-05-22,분위기가 별로예요
ST025,jbfoodie_05,친구랑 같이 왔는데 둘 다 너무 만족했어요. 하숙영가마솥비빔밥 최고!,2026-05-29,분위기가 좋아요
ST025,jeonju_review02,가격 대비 양도 많고 맛도 훌륭해요. 하숙영가마솥비빔밥 단골 됐어요.,2026-03-17,주차하기 편해요
ST025,미식여행자,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-02-20,맛있어요
ST025,중화산동단골,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-02-28,위생이 아쉬워요
ST025,전주야경감상,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-05-26,재방문 의사 없어요
ST025,처음방문최씨,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-05-08,분위기가 별로예요
ST025,foodlover_A,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-03-28,특별한 날 가기 좋아요
ST025,주말여행자,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-05-06,대기시간이 길어요
ST025,review_kr_01,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-04-28,가성비가 좋아요
ST025,비빔밥사랑,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-04-01,단체모임 하기 좋아요
ST026,foodlover_E,테이블 간격이 너무 좁아서 불편했어요.,2026-03-04,가격이 비싸요
ST026,맛집탐험대,친구랑 같이 왔는데 둘 다 너무 만족했어요. 현대옥(한옥마을점) 최고!,2026-03-18,특별한 날 가기 좋아요
ST026,객사맛집,가격 대비 양도 많고 맛도 훌륭해요. 현대옥(한옥마을점) 단골 됐어요.,2026-01-09,맛있어요
ST026,먹스타그램,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-04-14,맛있어요
ST026,전주야경감상,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-04-07,맛있어요
ST026,foodlover_B,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-05-02,맛이 별로예요
ST026,홍길동123,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-01-03,주차하기 불편해요
ST026,비빔밥사랑,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-01-22,맛있어요
ST026,review_kr_03,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-04-22,혼밥하기 좋아요
ST026,중화산동단골,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-05-25,불친절해요
ST026,foodstagram_kr,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-05-16,특별한 날 가기 좋아요
ST026,맛있는하루,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-02-28,재방문 의사 없어요
ST026,갈비사랑,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-05-26,양이 적어요
ST026,user_전주_02,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-03-11,특별한 날 가기 좋아요
ST026,food_diary_jj,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-01-20,가성비가 좋아요
ST026,점심메이트,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-05-20,특별한 날 가기 좋아요
ST027,전주콩나물,오랜만에 왔는데 변함없이 맛있네요. 전주막걸리(경원동) 강추!,2026-01-07,혼밥하기 좋아요
ST027,jeonju_trip,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-04-01,특별한 날 가기 좋아요
ST027,foodlover_B,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-01-24,깨끗해요
ST027,먹방러_03,전주막걸리(경원동) 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-06-03,혼밥하기 좋아요
ST027,삼천동리뷰,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-04-09,깨끗해요
ST027,gourmet_jb,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-16,불친절해요
ST027,jeonju_review01,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-04-10,가격이 비싸요
ST027,신시가지탐방,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-05-24,분위기가 별로예요
ST027,처음방문최씨,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-05-27,양이 적어요
ST027,맛집헌터D,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-02-13,친절해요
ST027,전주야경감상,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-02-13,주차하기 편해요
ST027,푸드인전주,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-03-10,주차하기 불편해요
ST027,덕진구주민,오랜만에 왔는데 변함없이 맛있네요. 전주막걸리(경원동) 강추!,2026-03-10,분위기가 좋아요
ST027,review_kr_02,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-02-07,양이 적어요
ST027,bibimbap_fan,가격 대비 양도 많고 맛도 훌륭해요. 전주막걸리(경원동) 단골 됐어요.,2026-02-12,또 오고 싶어요
ST027,taste_kr_02,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-03-12,주차하기 편해요
ST027,jeonju_review03,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-03-18,양이 많아요
ST027,user_전주_04,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-01-20,가성비가 좋아요
ST027,남부시장단골,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-03-06,혼밥하기 좋아요
ST028,jeonju_review04,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-04-07,재방문 의사 없어요
ST028,전북대생,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-04-25,주차하기 편해요
ST028,먹방러_04,오랜만에 왔는데 변함없이 맛있네요. 삼백집 강추!,2026-05-03,혼밥하기 좋아요
ST028,jbfoodie_05,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-04-13,분위기가 좋아요
ST028,전주맛집B,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-05-10,주차하기 편해요
ST028,jeonju_review03,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-05-20,주차하기 편해요
ST028,jeollabuk_go,오랜만에 왔는데 변함없이 맛있네요. 삼백집 강추!,2026-04-03,혼밥하기 좋아요
ST028,전주맛집C,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-06-02,또 오고 싶어요
ST028,신시가지탐방,테이블 간격이 너무 좁아서 불편했어요.,2026-01-28,맛이 별로예요
ST028,맛집소개정씨,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-04-01,위생이 아쉬워요
ST028,국밥매니아,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-06-06,분위기가 좋아요
ST028,food_diary_jj,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-05-25,재방문 의사 없어요
ST028,콩나물국밥마니아,친구랑 같이 왔는데 둘 다 너무 만족했어요. 삼백집 최고!,2026-03-26,가성비가 좋아요
ST028,taste_kr_01,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-01-28,불친절해요
ST028,전주맛집탐방,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-01-26,양이 많아요
ST028,출장온회사원,친구랑 같이 왔는데 둘 다 너무 만족했어요. 삼백집 최고!,2026-02-26,또 오고 싶어요
ST029,jbfoodie_03,친구랑 같이 왔는데 둘 다 너무 만족했어요. 풍년제과(한옥마을점) 최고!,2026-01-27,맛있어요
ST029,전주맛집C,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-02-17,친절해요
ST029,객사주변직장인,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-25,위생이 아쉬워요
ST029,순대마니아,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-04-28,깨끗해요
ST029,전주비빔밥러,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-03-09,양이 많아요
ST029,review_kr_01,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-05-16,분위기가 별로예요
ST029,다가동미식,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-06-02,재방문 의사 없어요
ST029,전통주탐방,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-06-06,분위기가 좋아요
ST029,전주비빔밥순례,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-05-31,깨끗해요
ST029,덕진공원산책후,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-04-01,주차하기 불편해요
ST029,food_jb_03,친구랑 같이 왔는데 둘 다 너무 만족했어요. 풍년제과(한옥마을점) 최고!,2026-06-08,친절해요
ST029,한정식전문가,가격 대비 양도 많고 맛도 훌륭해요. 풍년제과(한옥마을점) 단골 됐어요.,2026-03-18,또 오고 싶어요
ST029,먹방러_02,가격 대비 양도 많고 맛도 훌륭해요. 풍년제과(한옥마을점) 단골 됐어요.,2026-01-22,특별한 날 가기 좋아요
ST029,맛있어요123,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-03-22,특별한 날 가기 좋아요
ST029,travel_eater,전주 초코파이는 여기서 꼭 사야 해요. 선물로 최고!,2026-03-03,맛있어요
ST029,효자동단골,오랜만에 왔는데 변함없이 맛있네요. 풍년제과(한옥마을점) 강추!,2026-01-30,친절해요
ST029,전주살이,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-04-06,또 오고 싶어요
ST029,yummy_jeonju,테이블 간격이 너무 좁아서 불편했어요.,2026-05-11,주차하기 불편해요
ST029,jeonju_review03,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-06-02,양이 많아요
ST030,가족여행객,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-03-31,주차하기 편해요
ST030,jeonju_trip,오랜만에 왔는데 변함없이 맛있네요. 가족회관 강추!,2026-04-23,분위기가 좋아요
ST030,travel_eater,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-03-02,단체모임 하기 좋아요
ST030,냉면마니아,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-05-31,맛있어요
ST030,덕진공원산책후,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-06-06,가성비가 좋아요
ST030,jeonju_review05,가격 대비 양도 많고 맛도 훌륭해요. 가족회관 단골 됐어요.,2026-02-12,특별한 날 가기 좋아요
ST030,푸드인전주,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-02-22,가격이 비싸요
ST030,칼국수러버,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-01-16,가성비가 좋아요
ST030,jbfoodie_01,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-03-31,가성비가 좋아요
ST030,전주맛집B,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-13,양이 적어요
ST030,먹방러_03,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-05-18,친절해요
ST030,비빔밥사랑,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-03-24,분위기가 좋아요
ST030,아침밥러버,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-03-16,재방문 의사 없어요
ST030,jbfoodie_02,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-10,양이 적어요
ST030,맛집헌터B,가족회관 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-01-25,단체모임 하기 좋아요
ST030,맛있어요123,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-04-16,재방문 의사 없어요
ST031,taste_kr_03,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-04-27,깨끗해요
ST031,jeonju_foodie,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-04-20,대기시간이 길어요
ST031,국밥왕,천년향 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-02-03,양이 많아요
ST031,덕진구주민,가격 대비 양도 많고 맛도 훌륭해요. 천년향 단골 됐어요.,2026-02-10,혼밥하기 좋아요
ST031,혼밥러_전주,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-01-24,또 오고 싶어요
ST031,남부시장단골,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-06,가격이 비싸요
ST031,신시가지탐방,천년향 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-04-06,단체모임 하기 좋아요
ST031,국밥매니아,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-01-14,대기시간이 길어요
ST031,피순대국밥팬,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-06-10,단체모임 하기 좋아요
ST031,효자동단골,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-03-01,특별한 날 가기 좋아요
ST031,jeonju_review05,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-01-24,분위기가 좋아요
ST031,foodstagram_kr,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-01-01,가격이 비싸요
ST031,갈비사랑,오랜만에 왔는데 변함없이 맛있네요. 천년향 강추!,2026-05-03,깨끗해요
ST031,한옥마을단골,친구랑 같이 왔는데 둘 다 너무 만족했어요. 천년향 최고!,2026-02-03,분위기가 좋아요
ST031,먹방러_02,친구랑 같이 왔는데 둘 다 너무 만족했어요. 천년향 최고!,2026-02-27,혼밥하기 좋아요
ST032,남부시장단골,친구랑 같이 왔는데 둘 다 너무 만족했어요. 전주비빔밥식당 최고!,2026-03-23,주차하기 편해요
ST032,jb_local_guide,비빔밥 하나 시키면 반찬이 엄청 많이 나와요. 든든해요.,2026-04-10,가성비가 좋아요
ST032,jbfoodie_01,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-04-18,양이 많아요
ST032,객사주변직장인,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-05-20,혼밥하기 좋아요
ST032,한정식전문가,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-05-01,또 오고 싶어요
ST032,전북대생,육회가 신선하고 고소해요. 전주 오면 꼭 먹어야 할 메뉴!,2026-01-05,양이 많아요
ST032,먹방러_01,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-01-18,분위기가 별로예요
ST032,gourmet_jb,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-09,양이 적어요
ST032,한옥마을여행,전주비빔밥식당 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-01-11,또 오고 싶어요
ST032,kimchi_lover,돌솥에 나와서 따뜻하게 먹을 수 있어서 좋았어요.,2026-04-12,친절해요
ST032,review_kr_05,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-03-15,분위기가 좋아요
ST032,review_kr_04,오랜만에 왔는데 변함없이 맛있네요. 전주비빔밥식당 강추!,2026-04-17,친절해요
ST032,jeonju_review04,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-04-13,양이 많아요
ST032,신시가지탐방,나물 가짓수가 줄어든 것 같아요. 예전이 더 풍성했는데.,2026-05-18,재방문 의사 없어요
ST032,전주맛집C,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-06-07,분위기가 좋아요
ST032,미식여행자,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-13,가격이 비싸요
ST032,서신동먹자,테이블 간격이 너무 좁아서 불편했어요.,2026-01-21,맛이 별로예요
ST032,맛집헌터A,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-02-22,가격이 비싸요
ST032,삼천동리뷰,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-04-11,혼밥하기 좋아요
ST033,맛집소개정씨,가격 대비 양도 많고 맛도 훌륭해요. 교동 단골 됐어요.,2026-04-17,특별한 날 가기 좋아요
ST033,인후동탐방,오랜만에 왔는데 변함없이 맛있네요. 교동 강추!,2026-03-11,단체모임 하기 좋아요
ST033,한옥마을단골,교동 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-05-27,가성비가 좋아요
ST033,전주역이용객,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-01-31,또 오고 싶어요
ST033,review_kr_04,교동 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-01-14,특별한 날 가기 좋아요
ST033,jeonju_eater,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-02-27,단체모임 하기 좋아요
ST033,맛집헌터C,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-01-12,가성비가 좋아요
ST033,콩나물국밥마니아,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-01-18,깨끗해요
ST033,food_jb_05,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-03-14,주차하기 편해요
ST033,서신동먹자,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-25,불친절해요
ST033,jeonju_trip,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-05-22,맛있어요
ST033,food_jb_02,테이블 간격이 너무 좁아서 불편했어요.,2026-01-03,가격이 비싸요
ST033,신시가지거주자,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-02-21,불친절해요
ST033,아침밥러버,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-05-25,위생이 아쉬워요
ST033,덕진구주민,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-06-09,대기시간이 길어요
ST033,처음방문최씨,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-04-29,혼밥하기 좋아요
ST033,먹방러_02,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-05-07,양이 많아요
ST033,순대마니아,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-05-20,양이 많아요
ST033,food_explorer_kr,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-01-02,양이 적어요
ST034,먹방러_05,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-01-11,양이 적어요
ST034,한옥마을여행,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-25,분위기가 별로예요
ST034,전주핫플,오랜만에 왔는데 변함없이 맛있네요. 남부시장국밥 강추!,2026-01-24,가성비가 좋아요
ST034,맛집소개정씨,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-04-02,위생이 아쉬워요
ST034,피순대국밥팬,테이블 간격이 너무 좁아서 불편했어요.,2026-05-12,불친절해요
ST034,전주여행자,이른 아침부터 문 열어서 해장하기 딱 좋아요.,2026-03-18,분위기가 좋아요
ST034,출장온회사원,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-02-14,또 오고 싶어요
ST034,punpun_eats,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-04-14,분위기가 좋아요
ST034,food_jb_01,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-05-23,불친절해요
ST034,foodlover_A,콩나물이 아삭하고 국물이 개운해요. 해장국으로 최고!,2026-03-05,혼밥하기 좋아요
ST034,foodstagram_kr,친구랑 같이 왔는데 둘 다 너무 만족했어요. 남부시장국밥 최고!,2026-04-29,단체모임 하기 좋아요
ST034,전주콩나물,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-02-05,또 오고 싶어요
ST034,korea_food_map,국물이 진하고 깊어요. 해장에 완벽한 집이에요!,2026-01-04,또 오고 싶어요
ST034,kimchi_lover,친구랑 같이 왔는데 둘 다 너무 만족했어요. 남부시장국밥 최고!,2026-02-26,가성비가 좋아요
ST034,jb_local_guide,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-02-20,가성비가 좋아요
ST034,콩나물국밥마니아,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-04-06,양이 적어요
ST034,신시가지탐방,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-05-30,양이 많아요
ST034,먹방러_01,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-03-08,불친절해요
ST035,전주법원앞단골,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-05-25,단체모임 하기 좋아요
ST035,review_kr_04,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-03-24,주차하기 편해요
ST035,전통주탐방,가격 대비 양도 많고 맛도 훌륭해요. 명가전주비빔밥 단골 됐어요.,2026-03-11,분위기가 좋아요
ST035,전주살이,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-01-07,가격이 비싸요
ST035,인후동탐방,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-06-02,주차하기 불편해요
ST035,전주한바퀴,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-01-08,깨끗해요
ST035,점심메이트,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-01-15,재방문 의사 없어요
ST035,user_전주_01,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-05-16,맛있어요
ST035,경기전방문자,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-05-30,맛이 별로예요
ST035,전주맛지도,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-02-10,양이 적어요
ST035,맛집지도앱,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-03-05,혼밥하기 좋아요
ST035,단골손님이씨,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-10,위생이 아쉬워요
ST035,전주맛집B,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-01-15,주차하기 편해요
ST035,jbfoodie_03,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-04-10,가성비가 좋아요
ST035,한옥마을관광,돌솥에 나와서 따뜻하게 먹을 수 있어서 좋았어요.,2026-02-14,주차하기 편해요
ST036,전주대학로,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-02-02,또 오고 싶어요
ST036,jeonju_eater,친구랑 같이 왔는데 둘 다 너무 만족했어요. 왱이집 최고!,2026-01-01,또 오고 싶어요
ST036,jbfoodie_02,오랜만에 왔는데 변함없이 맛있네요. 왱이집 강추!,2026-04-11,친절해요
ST036,jbfoodie_01,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-01-09,양이 적어요
ST036,전주살이,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-06-04,대기시간이 길어요
ST036,인후동탐방,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-06-06,대기시간이 길어요
ST036,전주한바퀴,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-05-25,맛있어요
ST036,전주콩나물,왱이집 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-05-08,양이 많아요
ST036,yummy_jeonju,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-03-26,가격이 비싸요
ST036,한옥마을단골,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-03-02,친절해요
ST036,전주법원앞단골,오랜만에 왔는데 변함없이 맛있네요. 왱이집 강추!,2026-03-23,특별한 날 가기 좋아요
ST036,국밥매니아,테이블 간격이 너무 좁아서 불편했어요.,2026-01-23,대기시간이 길어요
ST036,전주시청직원,친구랑 같이 왔는데 둘 다 너무 만족했어요. 왱이집 최고!,2026-04-25,양이 많아요
ST036,전주맛집탐방,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-09,주차하기 불편해요
ST036,냉면마니아,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-03-05,맛있어요
ST036,순대국밥러버,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-03-31,주차하기 편해요
ST037,미식여행자,가격 대비 양도 많고 맛도 훌륭해요. 한벽루 단골 됐어요.,2026-01-14,혼밥하기 좋아요
ST037,남부시장단골,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-01-01,분위기가 별로예요
ST037,jeonju_review05,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-01-23,또 오고 싶어요
ST037,전주대학로,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-06-10,주차하기 편해요
ST037,먹방러_04,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-05-03,단체모임 하기 좋아요
ST037,국밥왕,친구랑 같이 왔는데 둘 다 너무 만족했어요. 한벽루 최고!,2026-01-25,특별한 날 가기 좋아요
