업체명,업체코드,업체카테고리,주소,전화번호,별점,업체사진,편의성정보,주차여부,영업시간
정희 전주한옥마을점,2052033549,한식,전북 전주시 완산구 은행로 40 정희 전주 한옥마을점,0507-1386-5099,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260226_35%2F1772087313017Co3pN_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2026-01-20_162910.png,무선 인터넷_유아의자_남/녀 화장실 구분,가능,"월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 토: 11:00 - 21:00 (브레이크타임: 15:30 - 17:00, 라스트오더: 20:20) | 일: 11:00 - 21:00 (브레이크타임: 15:30 - 17:00, 라스트오더: 20:20)"
메르밀진미집 본점,19545775,국수,전북 전주시 완산구 전주천동로 94 메르밀진미집 본점,063-288-4020,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260531_121%2F1780215939923s1yXk_JPEG%2F2026_6%25BF%25F9_7%25BF%25F9_%25C0%25DA%25BB%25F6%25B0%25ED%25B1%25B8%25B8%25B6_%25C4%25E1%25B1%25B9%25BC%25F6___%25B0%25F8%25C1%25F6%25BF%25EB.jpg,예약_단체 이용 가능_포장_배달_남/녀 화장실 구분_무선 인터넷_\반려동물 동반_유아의자_대기공간_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능,가능,월: 10:00 - 20:00 (라스트오더: 19:30) | 화: 10:00 - 20:00 (라스트오더: 19:30) | 수: 10:00 - 20:00 (라스트오더: 19:30) | 목: 10:00 - 20:00 (라스트오더: 19:30) | 금: 10:00 - 20:00 (라스트오더: 19:30) | 토: 10:00 - 20:00 (라스트오더: 19:30) | 일: 10:00 - 20:00 (라스트오더: 19:30)
포스트빈,1152003157,"카페,디저트",전북 전주시 완산구 은행로 49,063-282-6007,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240522_140%2F1716355111297zQlXS_JPEG%2FKakaoTalk_20240516_140908625_02.jpg,단체 이용 가능_포장_예약_무선 인터넷_남/녀 화장실 구분,불가,월: 09:00 - 22:00 | 화: 09:00 - 22:00 | 수: 09:00 - 22:00 | 목: 09:00 - 22:00 | 금: 09:00 - 22:00 | 토: 09:00 - 22:00 | 일: 09:00 - 22:00
카페1938,1317484628,"카페,디저트",전북 전주시 완산구 어진길 78 카페1938,0507-1425-3124,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251121_8%2F1763690510566A04dA_JPEG%2FKHS_5824_%25C1%25A4%25BB%25E7%25B0%25A2%25C7%25FC.jpeg,단체 이용 가능_예약_남/녀 화장실 구분_무선 인터넷_\반려동물 동반,가능,월: 09:00 - 23:00 | 화: 09:00 - 23:00 | 수: 09:00 - 23:00 | 목: 09:00 - 23:00 | 금: 09:00 - 23:00 | 토: 09:00 - 23:00 | 일: 08:30 - 22:30
카페이르리,1111317495,"카페,디저트",전북 전주시 완산구 은행로 69,0507-1363-1528,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240827_171%2F1724740816376ml9Eb_JPEG%2FKakaoTalk_20240827_153732548_11.jpg,단체 이용 가능_남/녀 화장실 구분,가능,월: 09:00 - 23:00 (라스트오더: 22:30) | 화: 09:00 - 23:00 (라스트오더: 22:30) | 수: 09:00 - 23:00 (라스트오더: 22:30) | 목: 09:00 - 23:00 (라스트오더: 22:30) | 금: 09:00 - 23:00 (라스트오더: 22:30) | 토: 09:00 - 23:00 (라스트오더: 22:30) | 일: 09:00 - 23:00 (라스트오더: 22:30)
PNB 풍년제과 본점,16784383,베이커리,전북 전주시 완산구 팔달로 180,0507-1426-6666,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160921_216%2F1474419723827S9GVI_JPEG%2F176871503223614_0.jpeg,무선 인터넷,가능,월: 08:00 - 22:00 | 화: 08:00 - 22:00 | 수: 08:00 - 22:00 | 목: 08:00 - 22:00 | 금: 08:00 - 22:00 | 토: 08:00 - 22:00 | 일: 08:00 - 22:00
원스타임오프 전주한옥마을점,1142633504,"카페,디저트",전북 전주시 완산구 전라감영로 75 원스타임오프,0507-1323-2584,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260325_118%2F1774402384675kQyMB_PNG%2F12788.png,테이크아웃 할인_단체 이용 가능_포장_무선 인터넷_예약_배달_남/녀 화장실 구분,가능,월: 09:00 - 19:00 (라스트오더: 18:30) | 화: 09:00 - 19:00 (라스트오더: 18:30) | 수: 09:00 - 19:00 (라스트오더: 18:30) | 목: 09:00 - 19:00 (라스트오더: 18:30) | 금: 09:00 - 19:00 (라스트오더: 18:30) | 토: 09:00 - 21:00 (라스트오더: 20:30) | 일: 09:00 - 21:00 (라스트오더: 20:30)
풍년제과 본점,33277058,베이커리,전북 전주시 완산구 팔달로 141 풍년제과 본점,063-231-3366,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260603_95%2F1780472465688kGafy_JPEG%2FKakaoTalk_20260602_165634405_01.jpg,포장_배달_단체 이용 가능_무선 인터넷_남/녀 화장실 구분_화장실 휠체어 이용가능_장애인 주차구역,가능,월: 08:00 - 22:00 (라스트오더: 21:00) | 화: 08:00 - 22:00 (라스트오더: 21:00) | 수: 08:00 - 22:00 (라스트오더: 21:00) | 목: 08:00 - 22:00 (라스트오더: 21:00) | 금: 08:00 - 22:00 (라스트오더: 21:00) | 토: 08:00 - 22:00 (라스트오더: 21:00) | 일: 08:00 - 22:00 (라스트오더: 21:00)
전주는전주 전주한옥마을 본점,1694616852,한식,전북 전주시 완산구 태조로 31 1층 2층,0507-1369-4405,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240108_88%2F1704700336373NUWac_JPEG%2FDSC08583.jpg,비건 메뉴_단체 이용 가능_예약_무선 인터넷_포장_남/녀 화장실 구분_유아의자_출입구 휠체어 이용가능,불가,월: 11:00 - 23:00 (라스트오더: 22:10) | 화: 11:00 - 23:00 (라스트오더: 22:10) | 수: 11:00 - 23:00 (라스트오더: 22:10) | 목: 11:00 - 23:00 (라스트오더: 22:10) | 금: 11:00 - 23:00 (라스트오더: 22:10) | 토: 11:00 - 23:00 (라스트오더: 22:10) | 일: 11:00 - 23:00 (라스트오더: 22:10)
베테랑 칼국수,1246677842,종합분식,전북 전주시 완산구 경기전길 135,063-285-9898,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210110_298%2F16102184769318mwxQ_JPEG%2FhHd25L6MhM7NUuIGw6fNp704.jpeg.jpg,편의시설 정보 없음,가능,월: 09:00 - 20:00 | 화: 09:00 - 20:00 | 수: 09:00 - 20:00 | 목: 09:00 - 20:00 | 금: 09:00 - 20:00 | 토: 09:00 - 20:00 | 일: 09:00 - 20:00
구프오프 전주본점,1848527934,양식,전북 전주시 완산구 천경로 27 1 구프오프,0507-1382-1677,4.77,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250503_217%2F1746237024389tMMTB_JPEG%2F1000021627.jpg,와인 페어링_콜키지 가능유료_단체 이용 가능_무선 인터넷_남/녀 화장실 구분_포장_배달_예약_유아의자_대기공간_좌석 휠체어 이용가능,가능,"월: 11:00 - 21:00 (브레이크타임: 15:30 - 17:00, 라스트오더: 14:30, 20:00) | 화: 11:00 - 21:00 (브레이크타임: 15:30 - 17:00, 라스트오더: 14:30, 20:00) | 수: 11:00 - 21:00 (브레이크타임: 15:30 - 17:00, 라스트오더: 14:30, 20:00) | 목: 11:00 - 21:00 (브레이크타임: 15:30 - 17:00, 라스트오더: 14:30, 20:00) | 금: 11:00 - 21:00 (브레이크타임: 15:30 - 17:00, 라스트오더: 14:30, 20:00) | 토: 11:00 - 21:00 (브레이크타임: 16:00 - 17:00, 라스트오더: 15:00, 20:00) | 일: 11:00 - 21:00 (브레이크타임: 16:00 - 17:00, 라스트오더: 15:00, 20:00)"
이탈리돈,1857315164,돈가스,전북 전주시 완산구 간납로 4,1661-8418,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251001_207%2F1759292307277reLIu_GIF%2F%25C0%25CC%25C5%25BB%25B8%25AE%25B5%25B7_gif.gif,남/녀 화장실 구분_예약_배달_무선 인터넷_포장,불가,"월: 정기휴무 | 화: 11:00 - 20:30 (브레이크타임: 14:30 - 16:30, 라스트오더: 20:00) | 수: 11:00 - 20:30 (브레이크타임: 14:30 - 16:30, 라스트오더: 20:00) | 목: 11:00 - 20:30 (브레이크타임: 14:30 - 16:30, 라스트오더: 20:00) | 금: 11:00 - 20:30 (브레이크타임: 14:30 - 16:30, 라스트오더: 20:00) | 토: 11:00 - 20:30 (라스트오더: 20:00) | 일: 11:00 - 20:30 (라스트오더: 20:00)"
자매갈비전골,16792504,"육류,고기요리",전북 전주시 완산구 기린대로 121 자매갈비전골,0507-1420-7953,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240722_248%2F1721605468763fVNOE_JPEG%2F1721480242290.jpg,단체 이용 가능_예약_포장_남/녀 화장실 구분_무선 인터넷_대기공간_유아의자_방문접수/출장_배달_좌석 휠체어 이용가능,불가,월: 10:30 - 21:00 (브레이크타임: 15:30 - 16:30) | 화: 정기휴무 | 수: 10:30 - 21:00 (브레이크타임: 15:30 - 16:30) | 목: 10:30 - 21:00 (브레이크타임: 15:30 - 16:30) | 금: 10:30 - 21:00 (브레이크타임: 15:30 - 16:30) | 토: 10:30 - 21:00 | 일: 10:30 - 21:00
제일제과,1595618342,베이커리,전북 전주시 완산구 기린대로 123 제일제과,063-286-2828,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260123_41%2F1769170572820s1QPA_PNG%2FKakaoTalk_20260123_203833861.png,콜키지 가능유료_와인 페어링_단체 이용 가능_포장_배달_무선 인터넷_남/녀 화장실 구분_대기공간_예약,가능,월: 10:00 - 22:00 (라스트오더: 21:30) | 화: 10:00 - 22:00 (라스트오더: 21:30) | 수: 10:00 - 22:00 (라스트오더: 21:30) | 목: 10:00 - 22:00 (라스트오더: 21:30) | 금: 10:00 - 22:00 (라스트오더: 21:30) | 토: 10:00 - 23:00 (라스트오더: 22:30) | 일: 10:00 - 22:00 (라스트오더: 21:30)
전주왱이콩나물국밥전문점,33342797,국밥,전북 전주시 완산구 동문길 88,063-287-6980,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_7%2F14410566252572NDae_JPEG%2F146951415372007_0.jpeg,편의시설 정보 없음,가능,월: 07:00 - 21:00 | 화: 07:00 - 21:00 | 수: 07:00 - 21:00 | 목: 07:00 - 21:00 | 금: 07:00 - 21:00 | 토: 07:00 - 21:00 | 일: 07:00 - 21:00
메가MGC커피 전주한옥마을경기전점,1457865014,카페,전북 전주시 완산구 팔달로 128 1층,0507-1431-2886,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250413_300%2F1744546280881kmavG_PNG%2F%25B8%25DE%25B0%25A1%25B7%25CE%25B0%25ED.png,편의시설 정보 없음,불가,월: 09:00 - 20:00 | 화: 09:00 - 20:00 | 수: 09:00 - 20:00 | 목: 09:00 - 20:00 | 금: 09:00 - 21:00 | 토: 08:00 - 21:00 | 일: 08:00 - 21:00
한울밥상,36668406,한정식,전북 전주시 완산구 기린대로 104,063-227-4321,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211210_110%2F1639117070681Wa4bP_JPEG%2FKakaoTalk_20211210_145321843_05.jpg,예약_단체 이용 가능_남/녀 화장실 구분_무선 인터넷,가능,"월: 10:30 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 화: 10:30 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 수: 정기휴무 | 목: 10:30 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 금: 10:30 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 토: 10:30 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 일: 10:30 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00)"
한국집,16795216,비빔밥,전북 전주시 완산구 어진길 119,0507-1317-2286,4.05,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151209_77%2F1449632514456FsLOI_JPEG%2F167159527173268_0.jpg,비건 메뉴_단체 이용 가능_포장_무선 인터넷_남/녀 화장실 구분_출입구 휠체어 이용가능_좌석 휠체어 이용가능_장애인 주차구역,가능,월: 09:50 - 20:50 (라스트오더: 20:15) | 화: 09:50 - 20:50 (라스트오더: 20:15) | 수: 09:50 - 20:50 (라스트오더: 20:15) | 목: 09:50 - 20:50 (라스트오더: 20:15) | 금: 09:50 - 20:50 (라스트오더: 20:15) | 토: 09:50 - 20:50 (라스트오더: 20:15) | 일: 09:50 - 20:50 (라스트오더: 20:15)
45년전통비빔밥 종로회관,11540579,비빔밥,전북 전주시 완산구 전동성당길 98,063-288-4578,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171027_215%2F1509091765177WdHKe_JPEG%2FZBZAB_OdUE4PGYtqjPj5DP7P.jpg,콜키지 가능유료_비건 메뉴_예약_단체 이용 가능_포장_남/녀 화장실 구분_무선 인터넷_출입구 휠체어 이용가능,가능,월: 10:50 - 20:00 (라스트오더: 19:40) | 화: 10:50 - 20:00 (라스트오더: 19:40) | 수: 10:50 - 20:00 (라스트오더: 19:40) | 목: 10:50 - 20:00 (라스트오더: 19:40) | 금: 10:50 - 20:00 (라스트오더: 19:40) | 토: 10:50 - 20:00 (라스트오더: 19:40) | 일: 10:50 - 20:00 (라스트오더: 19:40)
길거리야 한옥마을점,1705369488,베이커리,전북 전주시 완산구 경기전길 124,063-286-5533,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_17%2F1612750924387KxDc0_JPEG%2FuCwOCHxuDwUK7nV0ggXDm6YO.jpg,편의시설 정보 없음,가능,월: 09:30 - 21:00 | 화: 09:30 - 21:00 | 수: 09:30 - 21:00 | 목: 09:30 - 21:00 | 금: 09:30 - 21:00 | 토: 09:30 - 21:00 | 일: 09:30 - 21:00
진할머니갈비국밥,1196809444,한식,전북 전주시 완산구 풍남문1길 15,0507-1491-8522,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240705_185%2F1720119710102ok8PW_JPEG%2FScreenshot_20240705_035306_NAVER.jpg,단체 이용 가능_포장_남/녀 화장실 구분_무선 인터넷,가능,월: 07:00 - 22:00 (라스트오더: 21:30) | 화: 07:00 - 22:00 (라스트오더: 21:30) | 수: 07:00 - 22:00 (라스트오더: 21:30) | 목: 07:00 - 22:00 (라스트오더: 21:30) | 금: 07:00 - 22:00 (라스트오더: 21:30) | 토: 07:00 - 22:00 (라스트오더: 21:30) | 일: 07:00 - 22:00 (라스트오더: 21:30)
교동석쇠불고기,1547379426,"육류,고기요리",전북 전주시 완산구 은행로 70 교동석쇠불고기,063-285-7989,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250317_73%2F17421818805766AM6n_JPEG%2F1000025668.jpg,편의시설 정보 없음,가능,월: 11:00 - 21:00 | 화: 11:00 - 21:00 | 수: 11:00 - 21:00 | 목: 11:00 - 21:00 | 금: 11:00 - 21:00 | 토: 11:00 - 21:00 | 일: 11:00 - 21:00
전주한옥마을전망대카페,1988260686,"카페,디저트",전북 전주시 완산구 어진길 15,063-231-0703,4.16,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231210_144%2F1702140182326f2VHu_JPEG%2FIMG_0368.JPG,예약_단체 이용 가능,불가,월: 09:00 - 23:00 | 화: 09:00 - 23:00 | 수: 09:00 - 23:00 | 목: 09:00 - 23:00 | 금: 09:00 - 23:00 | 토: 09:00 - 23:00 | 일: 09:00 - 23:00
은우정육식당,1978054842,정육식당,전북 전주시 완산구 홍산중앙로 13 돌핀빌딩 104호,0507-1498-8200,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250827_112%2F1756284685116knS0M_JPEG%2FKakaoTalk_20250519_160753161_17.jpg,콜키지 가능무료_단체 이용 가능_포장_유아의자_예약_무선 인터넷_출입구 휠체어 이용가능,가능,"월: 11:30 - 22:00 (브레이크타임: 14:00 - 16:00, 라스트오더: 21:10) | 화: 11:30 - 22:00 (브레이크타임: 14:00 - 16:00, 라스트오더: 21:10) | 수: 11:30 - 22:00 (브레이크타임: 14:00 - 16:00, 라스트오더: 21:10) | 목: 11:30 - 22:00 (브레이크타임: 14:00 - 16:00, 라스트오더: 21:10) | 금: 11:30 - 22:00 (브레이크타임: 14:00 - 16:00, 라스트오더: 21:10) | 토: 12:00 - 22:00 (브레이크타임: 14:00 - 17:00, 라스트오더: 21:10) | 일: 12:00 - 21:00 (브레이크타임: 14:00 - 16:00, 라스트오더: 20:10)"
사계 전주본점,1674437430,이자카야,전북 전주시 완산구 홍산북로 20 102호,0507-1485-3017,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240205_136%2F1707118325384htbMQ_JPEG%2F%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25281%2529.jpg,콜키지 가능유료_단체 이용 가능_예약_무선 인터넷_포장_배달_남/녀 화장실 구분_출입구 휠체어 이용가능_좌석 휠체어 이용가능,가능,월: 16:00 - 24:00 (라스트오더: 23:30) | 화: 16:00 - 24:00 (라스트오더: 23:30) | 수: 16:00 - 24:00 (라스트오더: 23:30) | 목: 16:00 - 24:00 (라스트오더: 23:30) | 금: 16:00 - 24:00 (라스트오더: 23:30) | 토: 16:00 - 24:00 (라스트오더: 23:30) | 일: 정기휴무
홀로설 전북도청 본점,1179533799,"육류,고기요리",전북 전주시 완산구 효자로 194 104호,0507-1347-3067,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250906_131%2F1757150846143Id7wb_JPEG%2FKakaoTalk_20250826_165615501.jpg,생일 혜택_단체 이용 가능_예약_남/녀 화장실 구분_대기공간_무선 인터넷_화장실 휠체어 이용가능_출입구 휠체어 이용가능_장애인 주차구역,가능,월: 11:00 - 21:30 (라스트오더: 20:40) | 화: 11:00 - 21:30 (라스트오더: 20:40) | 수: 11:00 - 21:30 (라스트오더: 20:40) | 목: 11:00 - 21:30 (라스트오더: 20:40) | 금: 11:00 - 21:30 (라스트오더: 20:40) | 토: 11:00 - 21:30 (라스트오더: 20:40) | 일: 11:00 - 21:30 (라스트오더: 20:40)
석암생소금구이 전주신시가지점,2035360458,"육류,고기요리",전북 전주시 완산구 홍산중앙로 30 103호,0507-1449-9595,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260422_190%2F1776827646412KmFYQ_JPEG%2F0_2.jpg,콜키지 가능유료_단체 이용 가능_예약,가능,월: 16:00 - 다음 날 02:00 | 화: 16:00 - 다음 날 02:00 | 수: 16:00 - 다음 날 02:00 | 목: 16:00 - 다음 날 02:00 | 금: 16:00 - 다음 날 02:00 | 토: 16:00 - 다음 날 02:00 | 일: 16:00 - 다음 날 02:00
올리빈,2050064407,브런치,전북 전주시 완산구 척동4길 11 올리빈,0507-1361-5930,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250513_109%2F1747065734996sCp9l_JPEG%2F%25BF%25AC%25C3%25E21_%25287%2529.jpg,비건 메뉴_유기농 메뉴_단체 이용 가능_포장_예약_무선 인터넷_남/녀 화장실 구분_유아의자,불가,"월: 10:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 화: 10:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 수: 10:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 목: 10:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 금: 10:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 토: 10:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00) | 일: 10:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:00)"
호르몬치치 전주신시가지점,2040733389,"육류,고기요리",전북 전주시 완산구 홍산북로 84 20 101 102호,0507-1481-5945,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20250511_63%2F174689214195254u2T_JPEG%2FKakaoTalk_20250307_092237394_07.jpg,무한 리필_콜키지 가능유료_단체 이용 가능_예약_무선 인터넷_남/녀 화장실 구분_유아의자,가능,월: 16:00 - 다음 날 01:00 (라스트오더: 00:30) | 화: 16:00 - 다음 날 01:00 (라스트오더: 00:30) | 수: 16:00 - 다음 날 01:00 (라스트오더: 00:30) | 목: 16:00 - 다음 날 01:00 (라스트오더: 00:30) | 금: 16:00 - 다음 날 01:00 (라스트오더: 00:30) | 토: 16:00 - 다음 날 01:00 (라스트오더: 00:30) | 일: 16:00 - 다음 날 01:00 (라스트오더: 00:30)
달빛에구운고등어 전북도청점,1658039837,생선구이,전북 전주시 완산구 홍산남로 20 101호,0507-1487-2121,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260526_223%2F1779768661868yDbhH_JPEG%2F2.jpg,포장_배달_예약_남/녀 화장실 구분_무선 인터넷,가능,월: 11:00 - 20:30 | 화: 11:00 - 20:30 | 수: 11:00 - 20:30 | 목: 11:00 - 20:30 | 금: 11:00 - 20:30 | 토: 11:00 - 20:30 | 일: 11:00 - 20:30
다산돼지와낙지 본점,35262409,한식,전북 전주시 완산구 홍산북로 83 9 에코빌딩 1층,063-221-7005,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251129_141%2F17644247612277ERwV_JPEG%2F1000017374.jpg,예약_단체 이용 가능_포장_남/녀 화장실 구분_무선 인터넷_대기공간,가능,"월: 11:20 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:00, 21:00) | 화: 11:20 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:00, 21:00) | 수: 11:20 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:00, 21:00) | 목: 11:20 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:00, 21:00) | 금: 11:20 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:00, 21:00) | 토: 11:20 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:00, 21:00) | 일: 정기휴무"
시오베이커리,2092423541,베이커리,전북 전주시 완산구 구룡1길 14 1 1층 101호,0507-1351-5790,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260511_291%2F17784823743441BmlR_JPEG%2FKakaoTalk_20260504_182742834_01.jpg,포장_예약_무선 인터넷_출입구 휠체어 이용가능,가능,월: 10:00 - 19:00 | 화: 정기휴무 | 수: 10:00 - 19:00 | 목: 10:00 - 19:00 | 금: 10:00 - 19:00 | 토: 10:00 - 19:00 | 일: 10:00 - 19:00
진담동&소바 전주효자동신시가지본점,1767903379,"우동,소바",전북 전주시 완산구 홍산남로 55 103호,0507-1357-4853,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241121_276%2F1732185265283EJnuj_JPEG%2FKakaoTalk_20240117_201955257_07.jpg,포장_배달_남/녀 화장실 구분_무선 인터넷_출입구 휠체어 이용가능_장애인 주차구역,가능,"월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:30) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:30) | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:30) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:30) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:30) | 토: 11:00 - 21:00 (라스트오더: 20:30) | 일: 11:00 - 21:00 (라스트오더: 20:30)"
몽유도 신시가지점,1954251906,"육류,고기요리",전북 전주시 완산구 홍산중앙로 47 1층,0507-1305-0493,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220112_36%2F164196193604297jOn_JPEG%2FKakaoTalk_20220111_103034523_03.jpg,콜키지 가능유료_대관_단체 이용 가능_무선 인터넷_남/녀 화장실 구분_예약_유아의자,가능,월: 16:00 - 24:00 (라스트오더: 23:00) | 화: 16:00 - 24:00 (라스트오더: 23:00) | 수: 16:00 - 24:00 (라스트오더: 23:00) | 목: 16:00 - 24:00 (라스트오더: 23:00) | 금: 16:00 - 24:00 (라스트오더: 23:00) | 토: 16:00 - 24:00 (라스트오더: 23:00) | 일: 16:00 - 24:00 (라스트오더: 23:00)
오티씨커피,1027304409,"카페,디저트",전북 전주시 완산구 마전중앙로 21 1층 103호,0507-1414-4339,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250411_80%2F1744355314165ej5TU_JPEG%2FIMG_3751.jpeg,단체 이용 가능_포장_무선 인터넷_남/녀 화장실 구분_예약,가능,월: 10:00 - 22:30 | 화: 10:00 - 22:30 | 수: 10:00 - 22:30 | 목: 10:00 - 22:30 | 금: 10:00 - 23:00 | 토: 10:00 - 23:00 | 일: 10:00 - 23:00
